ANEXO I - NOMENCLADOR GENERAL APROSS
Código	Descripción	Valor
410205	INTERNACION NEONATOLOGICA CON NEUROPROTECCION POR HIPOTERMIA	 $  114.564 
	PRESTACIONES SANATORIALES Y DE ENFERMERIA	
430101	UNA CAMA EN HABIT. DE DOS C/BAÑO 	 $  57.354 
430104	MODULO DE ATENCION PACIENTE CRITICO DE SALUD MENTAL	 $  137.566 
430106	UNA CAMA PARA ACOMPANANTE	 $  12.681 
430108	CAMA CON AISLAMIENTO	 $  70.592 
430109	INTERNACION BREVE OBSERVACION EN GUARDIA O PISO HASTA 8 HS.	 $  23.370 
430110	INTERNACION BREVE PARA PERFUSION DE DROGAS NO ONCOLOGICAS	 $  25.835 
430111	INTERNACION BREVE PARA AT. ODONTO EN DISCAPACIDAD	 $  37.844 
430201	CURACIONES	 $  1.073 
430205	ADICIONAL POR UTILIZACION DE INSUMOS Y DESCARTABLES ESPECIFICOS EN LA INTERNACION PEDIATRICA 	 $  23.691 
430303	GOTEO DROGAS QUIMIOTERAPIA AMBULATORIA	 $  19.268 
430304	GOTEO DROGAS QUIMIOTERAPIA CON INTERNACION	 $  16.641 
430310	MOD. DE ATENCION MEDICA DEL PTE NEOPLASICO TTO POR CITOSTATICOS Y/O TERAPIAS BLANCO DIRIGIDAS	 $ 37.901 
430312	ADICIONAL POR INFORMACION DE FARMACOVIGILANCIA	 $  1.218 
	MODULOS DE PREVENCION-CONTROL ANUAL	
440101	MUJERES-POBLACION LGBTBIQ+ MENORES DE 40 AÑOS - CONTROL ANUAL	 $  52.600 
440102	MUJERES-POBLACION LGBTBIQ+ MAYORES DE 40 AÑOS - CONTROL ANUAL	 $  66.292 
440201	HOMBRES-POBLACION LGBTBIQ+ MENORES DE 40 AÑOS - CONTROL ANUAL	 $  33.867 
440202	HOMBRES-POBLACION LGBTBIQ+ MAYORES DE 40 AÑOS - CONTROL ANUAL	 $  36.750 
460503	INTERNACION PARA CUIDADOS PALIATIVOS ONCOLOGICOS - POR DIA	 $  22.876 
	CONSULTA	
420101	CONSULTA CLINICA MEDICA	 $  3.900 
420102	CONSULTA PEDIATRICA	 $  3.900 
420103	CONSULTA GINECOLOGICA 	 $  3.900 
420104	CONSULTA MEDICA OBSTETRICIA	 $  3.900 
420105	CONSULTA DERMATOLOGIA 	 $  3.900 
420106	CONSULTA OFTALMOLOGIA	 $  3.900 
420107	CONSULTA OTORRINOLARINGOLOGIA	 $  3.900 
420109	CONSULTA GASTROENTEROLOGIA	 $  3.900 
420110	MODULO 1 -ATENCION ONCOLOGICA -PRIMERA VEZ-	 $  4.810 
420111	MODULO 2 -ATENCION ONCOLOGICA -ULTERIORES-	 $  1.924 
420116	CONSULTA UROLOGICA	 $  3.900 
420117	CONSULTA NEFROLOGIA	 $  3.900 
420118	CONSULTA TRAUMATOLOGICA	 $  3.900 
420119	CONSULTA CARDIOLOGICA	 $  3.900 
420121	CONSULTA NEUROLOGIA	 $  3.900 
420122	CONSULTA VASCULAR PERIFERICO	 $  3.900 
420123	CONSULTA FLEBOLOGIA	 $  3.900 
420124	CONSULTA INFECTOLOGIA	 $  3.900 
420125	CONSULTA REUMATOLOGIA	 $  3.900 
420126	CONSULTA ENDOCRINOLOGIA	 $  3.900 
420127	CONSULTA HEMATOLOGIA	 $  3.900 
420128	CONSULTA CIRUGÍA GENERAL	 $  3.900 
420129	CONSULTA NEUROCIRUGIA	 $  3.900 
420130	CONSULTA NEUMONOLOGIA	 $  3.900 
420131	CONSULTA ALERGIA E INMUNOLOGIA	 $  3.900 
420132	CONSULTA DE GUARDIA	 $  3.900 
420134	CONSULTA GENETICA	 $  3.900 
420502	CONSULTA TRATAMIENTO DEL DOLOR	 $  4.680 
420503	CONSULTA TRATAMIENTO DEL DOLOR-SUBSIGUIENTES	 $  4.680 
420135	CONSULTA CARDIOLOGIA PEDIATRICA	 $  3.900 
420136	CONSULTA CIRUGIA CARDIACA	 $  3.900 
420137	CONSULTA CIRUGIA DE CABEZA Y CUELLO	 $  3.900 
420138	CONSULTA CIRUGIA PEDIATRICA	 $  3.900 
420139	CONSULTA CIRUGIA TORACICA	 $  3.900 
420141	CONSULTA GASTROENTEROLOGIA PEDIATRICA	 $  3.900 
420140	CONSULTA ENDOCRINOLOGIA PEDIATRICA	 $  3.900 
420142	CONSULTA MEDICINA PALIATIVA	 $  3.900 
420143	CONSULTA NEFROLOGIA PEDIATRICA 	 $  3.900 
420144	CONSULTA NEUMONOLOGIA PEDIATRICA	 $  3.900 
420145	CONSULTA NEUROLOGIA PEDIATRICA	 $  3.900 
420146	CONSULTA NUTRICION MEDICA	 $  3.900 
420147	CONSULTA ONCOHEMATOLOGIA PEDIATRICA 	 $  3.900 
420148	CONSULTA REHABILITACION MEDICA	 $  3.900 
420149	CONSULTA TOXICOLOGICA	 $  3.900 
420504	CONSULTA PREQUIRURGICA	 $  3.900 
420505	INTERCONSULTA ESPECIALIZADA EN INTERNACION 	 $  3.900 
	HEMODIÁLISIS	
270101	Hemodialisis con riñon artificial en Insuficiencia renal aguda	 $  157.300 
270102	Hemodialisis con riñon artificial en Insuficiencia renal crónica	 $  143.000 
270103	Hemodialisis con riñon artificial en Insuficiencia renal. Arancel mensual	 $  1.859.000 
270201	Módulo 1 -DPCA-Entrenmiento y colocación de catéter peritoneal	 $  1.100.722 
270202	Módulo 2-DPCA-Tratamiento mensual	 $  1.687.400 
270203	Módulo 3-DPCA-Recolocación de catéter	 $  368.654 
	TRANSPORTE HEMODIÁLISIS	
270310	Módulo A: urbano Córdoba	 $  11.137 
270311	Módulo B: urbano interior	 $  8.241 
270312	Módulo C: hasta 30 km	 $  20.541 
270313	Módulo D: de 31 km a 50 km	 $  33.890 
270314	Módulo E: de 51 km a 75 km	 $  51.895 
270315	Módulo F: de 76 km a 100 km	 $  68.296 
270316	Módulo G: de 101 km a 150 km	 $  93.555 
270317	Módulo H: de 151 km a 200 km	 $  126.406 
270318	Módulo I: de 201 km a 250 km	 $  156.614 
270319	Módulo J: de 251 km a 300 km	 $  187.939 
